time,local_total,binance_realized,total
2025-10-16 15:31:24,0.00,0.00,0.00
2025-10-16 15:32:24,0.00,0.00,0.00
2025-10-16 15:33:25,0.00,0.00,0.00
2025-10-16 15:34:26,0.00,0.00,0.00
2025-10-16 15:35:26,0.00,0.00,0.00
2025-10-16 15:36:27,0.00,0.00,0.00
2025-10-16 16:14:56,0.00,0.00,0.00
2025-10-16 16:15:57,0.00,0.00,0.00
2025-10-16 16:16:58,0.00,0.00,0.00
2025-10-16 16:17:59,0.00,0.00,0.00
2025-10-16 16:18:59,0.00,0.00,0.00
2025-10-16 16:20:00,0.00,0.00,0.00
2025-10-16 16:24:21,0.00,0.00,0.00
2025-10-16 16:25:21,0.00,0.00,0.00
2025-10-16 16:26:22,0.00,0.00,0.00
2025-10-16 16:27:23,0.00,0.00,0.00
2025-10-16 16:28:24,0.00,0.00,0.00
2025-10-16 16:29:25,0.00,0.00,0.00
2025-10-16 16:30:25,0.00,0.00,0.00
2025-10-16 16:31:26,0.00,0.00,0.00
2025-10-16 16:36:26,0.00,0.00,0.00
2025-10-16 16:37:27,0.00,0.00,0.00
2025-10-16 16:38:27,0.00,0.00,0.00
2025-10-16 16:39:13,-4.20,0.00,-4.20
2025-10-16 16:39:13,-4.20,0.00,-4.20
2025-10-16 16:39:28,-4.20,0.00,-4.20
2025-10-16 16:39:51,-12.81,0.00,-12.81
2025-10-16 16:39:51,-12.81,0.00,-12.81
2025-10-16 16:40:17,-12.81,0.00,-12.81
2025-10-16 16:40:17,-12.81,0.00,-12.81
2025-10-16 16:40:29,-12.81,0.00,-12.81
2025-10-16 16:53:51,-12.81,0.00,-12.81
2025-10-16 16:54:51,-12.81,0.00,-12.81
2025-10-16 16:55:51,-12.81,0.00,-12.81
2025-10-16 16:56:52,-12.81,0.00,-12.81
2025-10-16 16:57:52,-12.81,0.00,-12.81
2025-10-16 16:58:52,-12.81,0.00,-12.81
2025-10-16 16:59:53,-12.81,0.00,-12.81
2025-10-16 17:00:54,-12.81,0.00,-12.81
2025-10-16 17:01:54,-12.81,0.00,-12.81
2025-10-16 17:02:55,-12.81,0.00,-12.81
2025-10-16 17:03:55,-12.81,0.00,-12.81
2025-10-16 17:04:56,-12.81,0.00,-12.81
2025-10-16 17:12:48,-12.81,0.00,-12.81
2025-10-16 17:13:49,-12.81,0.00,-12.81
2025-10-16 17:14:49,-12.81,0.00,-12.81
2025-10-16 17:15:49,-12.81,0.00,-12.81
2025-10-16 17:16:50,-12.81,0.00,-12.81
2025-10-16 17:17:50,-12.81,0.00,-12.81
2025-10-16 17:18:51,-12.81,0.00,-12.81
2025-10-16 21:51:18,-12.81,0.39,-12.42
2025-10-17 18:13:55,-12.81,0.39,-12.42
2025-10-17 18:14:56,-12.81,0.39,-12.42
2025-10-17 18:15:57,-12.81,0.39,-12.42
2025-10-17 18:16:57,-12.81,0.39,-12.42
2025-10-17 18:17:58,-12.81,0.39,-12.42
2025-10-17 18:18:59,-12.81,0.39,-12.42
2025-10-17 18:20:00,-12.81,0.39,-12.42
2025-10-17 18:21:00,-12.81,0.39,-12.42
2025-10-17 18:22:01,-12.81,0.39,-12.42
2025-10-17 18:23:02,-12.81,0.39,-12.42
2025-10-17 18:24:03,-12.81,0.39,-12.42
2025-10-17 18:25:03,-12.81,0.39,-12.42
2025-10-17 18:26:04,-12.81,0.39,-12.42
2025-10-17 18:27:04,-12.81,0.39,-12.42
2025-10-17 18:28:06,-12.81,0.39,-12.42
2025-10-17 18:29:06,-12.81,0.39,-12.42
2025-10-17 18:30:06,-12.81,0.39,-12.42
2025-10-17 18:31:06,-12.81,0.39,-12.42
2025-10-17 18:32:07,-12.81,0.39,-12.42
2025-10-17 18:33:08,-12.81,0.39,-12.42
2025-10-17 18:34:09,-12.81,0.39,-12.42
2025-10-17 18:35:09,-12.81,0.39,-12.42
2025-10-17 18:36:09,-12.81,0.39,-12.42
2025-10-17 18:37:11,-12.81,0.39,-12.42
2025-10-17 18:38:12,-12.81,0.39,-12.42
2025-10-17 18:39:13,-12.81,0.39,-12.42
2025-10-17 18:40:13,-12.81,0.39,-12.42
2025-10-17 18:41:13,-12.81,0.39,-12.42
2025-10-17 18:42:15,-12.81,0.39,-12.42
2025-10-17 18:43:15,-12.81,0.39,-12.42
2025-10-17 18:44:16,-12.81,0.39,-12.42
2025-10-17 18:45:16,-12.81,0.39,-12.42
2025-10-17 18:46:17,-12.81,0.39,-12.42
2025-10-17 18:47:18,-12.81,0.39,-12.42
2025-10-17 18:48:20,-12.81,0.39,-12.42
2025-10-17 18:49:20,-12.81,0.39,-12.42
2025-10-17 18:50:22,-12.81,0.39,-12.42
2025-10-17 18:51:23,-12.81,0.39,-12.42
2025-10-17 18:52:24,-12.81,0.39,-12.42
2025-10-17 18:53:24,-12.81,0.39,-12.42
2025-10-17 18:54:24,-12.81,0.39,-12.42
2025-10-17 18:55:25,-12.81,0.39,-12.42
2025-10-17 18:56:25,-12.81,0.39,-12.42
2025-10-17 18:57:27,-12.81,0.39,-12.42
2025-10-17 18:58:27,-12.81,0.39,-12.42
2025-10-17 18:59:28,-12.81,0.39,-12.42
2025-10-17 19:00:29,-12.81,0.39,-12.42
2025-10-17 19:01:31,-12.81,0.39,-12.42
2025-10-17 19:02:32,-12.81,0.39,-12.42
2025-10-17 19:03:32,-12.81,0.39,-12.42
2025-10-17 19:04:33,-12.81,0.39,-12.42
2025-10-17 19:05:34,-12.81,0.39,-12.42
2025-10-17 19:06:35,-12.81,0.39,-12.42
2025-10-17 19:07:36,-12.81,0.39,-12.42
2025-10-17 19:08:37,-12.81,0.39,-12.42
2025-10-17 19:09:38,-12.81,0.39,-12.42
2025-10-17 19:10:38,-12.81,0.39,-12.42
2025-10-17 19:11:39,-12.81,0.39,-12.42
2025-10-17 19:12:39,-12.81,0.39,-12.42
2025-10-17 19:13:40,-12.81,0.39,-12.42
2025-10-17 19:14:41,-12.81,0.39,-12.42
2025-10-17 19:15:42,-12.81,0.39,-12.42
2025-10-17 19:16:43,-12.81,0.39,-12.42
2025-10-17 19:17:43,-12.81,0.39,-12.42
2025-10-17 19:18:48,-12.81,0.39,-12.42
2025-10-17 19:19:47,-12.81,0.39,-12.42
2025-10-17 19:20:47,-12.81,0.39,-12.42
2025-10-17 19:21:48,-12.81,0.39,-12.42
2025-10-17 19:22:49,-12.81,0.39,-12.42
2025-10-17 19:23:54,-12.81,0.39,-12.42
2025-10-17 19:24:54,-12.81,0.39,-12.42
2025-10-17 19:25:55,-12.81,0.39,-12.42
2025-10-17 19:26:56,-12.81,0.39,-12.42
2025-10-17 19:27:56,-12.81,0.39,-12.42
2025-10-17 19:28:59,-12.81,0.39,-12.42
2025-10-17 19:30:00,-12.81,0.39,-12.42
2025-10-17 19:31:02,-12.81,0.39,-12.42
2025-10-17 19:32:03,-12.81,0.39,-12.42
2025-10-17 19:33:04,-12.81,0.39,-12.42
2025-10-17 19:34:06,-12.81,0.39,-12.42
2025-10-17 19:35:07,-12.81,0.39,-12.42
2025-10-17 19:36:08,-12.81,0.39,-12.42
2025-10-17 19:37:08,-12.81,0.39,-12.42
2025-10-17 19:38:08,-12.81,0.39,-12.42
2025-10-17 19:39:08,-12.81,0.39,-12.42
2025-10-17 19:40:09,-12.81,0.39,-12.42
2025-10-17 19:41:10,-12.81,0.39,-12.42
2025-10-17 19:42:10,-12.81,0.39,-12.42
2025-10-17 19:43:11,-12.81,0.39,-12.42
2025-10-17 19:44:12,-12.81,0.39,-12.42
2025-10-17 19:45:13,-12.81,0.39,-12.42
2025-10-17 19:46:13,-12.81,0.39,-12.42
2025-10-17 19:47:14,-12.81,0.39,-12.42
2025-10-17 19:48:14,-12.81,0.39,-12.42
2025-10-17 19:49:15,-12.81,0.39,-12.42
2025-10-17 19:50:15,-12.81,0.39,-12.42
2025-10-17 19:51:16,-12.81,0.39,-12.42
2025-10-17 19:52:16,-12.81,0.39,-12.42
2025-10-17 19:53:17,-12.81,0.39,-12.42
2025-10-17 19:54:18,-12.81,0.39,-12.42
2025-10-17 19:55:19,-12.81,0.39,-12.42
2025-10-17 19:55:59,-12.81,0.00,-12.81
2025-10-17 19:57:26,-12.81,0.39,-12.42
2025-10-17 19:58:26,-12.81,0.39,-12.42
2025-10-17 20:36:27,-12.81,0.39,-12.42
2025-10-17 20:37:27,-12.81,0.39,-12.42
2025-10-17 20:38:27,-12.81,0.39,-12.42
2025-10-17 20:39:28,-12.81,0.39,-12.42
2025-10-17 20:40:29,-12.81,0.39,-12.42
2025-10-17 20:41:29,-12.81,0.39,-12.42
2025-10-17 20:42:30,-12.81,0.39,-12.42
2025-10-17 20:43:30,-12.81,0.39,-12.42
2025-10-17 20:44:31,-12.81,0.39,-12.42
2025-10-17 20:45:33,-12.81,0.39,-12.42
2025-10-17 20:46:33,-12.81,0.39,-12.42
2025-10-17 20:47:34,-12.81,0.39,-12.42
2025-10-17 20:48:35,-12.81,0.39,-12.42
2025-10-17 20:49:36,-12.81,0.39,-12.42
2025-10-17 20:50:36,-12.81,0.39,-12.42
2025-10-17 20:51:36,-12.81,0.39,-12.42
2025-10-17 20:52:36,-12.81,0.39,-12.42
2025-10-17 20:53:38,-12.81,0.39,-12.42
2025-10-17 20:54:38,-12.81,0.39,-12.42
2025-10-17 20:55:38,-12.81,0.39,-12.42
2025-10-17 20:56:39,-12.81,0.39,-12.42
2025-10-17 20:57:39,-12.81,0.39,-12.42
2025-10-17 20:58:41,-12.81,0.39,-12.42
2025-10-17 20:59:41,-12.81,0.39,-12.42
2025-10-17 21:00:41,-12.81,0.39,-12.42
2025-10-17 21:01:42,-12.81,0.39,-12.42
2025-10-17 21:02:42,-12.81,0.39,-12.42
2025-10-17 21:03:43,-12.81,0.39,-12.42
2025-10-17 21:04:44,-12.81,0.39,-12.42
2025-10-17 21:05:44,-12.81,0.39,-12.42
2025-10-17 21:06:44,-12.81,0.39,-12.42
2025-10-17 21:07:45,-12.81,0.39,-12.42
2025-10-17 21:08:45,-12.81,0.39,-12.42
2025-10-17 21:09:47,-12.81,0.39,-12.42
2025-10-17 21:10:47,-12.81,0.39,-12.42
2025-10-17 21:11:48,-12.81,0.39,-12.42
2025-10-17 21:12:49,-12.81,0.39,-12.42
2025-10-17 21:13:50,-12.81,0.39,-12.42
2025-10-17 21:14:50,-12.81,0.39,-12.42
2025-10-17 21:15:51,-12.81,0.39,-12.42
2025-10-17 21:16:52,-12.81,0.39,-12.42
2025-10-17 21:17:53,-12.81,0.39,-12.42
2025-10-17 21:18:54,-12.81,0.39,-12.42
2025-10-17 21:19:56,-12.81,0.39,-12.42
2025-10-17 21:20:57,-12.81,0.39,-12.42
2025-10-17 21:21:58,-12.81,0.39,-12.42
2025-10-17 21:22:58,-12.81,0.39,-12.42
2025-10-17 21:23:58,-12.81,0.39,-12.42
2025-10-17 21:24:59,-12.81,0.39,-12.42
2025-10-17 21:25:59,-12.81,0.39,-12.42
2025-10-17 21:27:00,-12.81,0.39,-12.42
2025-10-17 21:28:02,-12.81,0.39,-12.42
2025-10-17 21:29:02,-12.81,0.39,-12.42
2025-10-17 21:30:03,-12.81,0.39,-12.42
2025-10-17 21:31:03,-12.81,0.39,-12.42
2025-10-17 21:32:04,-12.81,0.39,-12.42
2025-10-17 21:33:05,-12.81,0.39,-12.42
2025-10-17 21:34:06,-12.81,0.39,-12.42
2025-10-17 21:35:06,-12.81,0.39,-12.42
2025-10-17 21:36:07,-12.81,0.39,-12.42
2025-10-17 21:37:07,-12.81,0.39,-12.42
2025-10-17 21:38:08,-12.81,0.39,-12.42
2025-10-17 21:39:08,-12.81,0.39,-12.42
2025-10-17 21:40:09,-12.81,0.39,-12.42
2025-10-17 21:41:09,-12.81,0.39,-12.42
2025-10-17 21:42:10,-12.81,0.39,-12.42
2025-10-17 21:43:11,-12.81,0.39,-12.42
2025-10-17 21:44:11,-12.81,0.39,-12.42
2025-10-17 21:45:11,-12.81,0.39,-12.42
2025-10-17 21:46:11,-12.81,0.39,-12.42
2025-10-17 21:47:11,-12.81,0.39,-12.42
2025-10-17 21:48:11,-12.81,0.39,-12.42
2025-10-17 21:49:13,-12.81,0.39,-12.42
2025-10-17 21:50:13,-12.81,0.39,-12.42
2025-10-17 21:51:13,-12.81,0.39,-12.42
2025-10-17 21:52:14,-12.81,0.39,-12.42
2025-10-17 21:53:14,-12.81,0.39,-12.42
2025-10-17 21:54:16,-12.81,0.39,-12.42
2025-10-17 21:55:16,-12.81,0.39,-12.42
2025-10-17 21:56:17,-12.81,0.39,-12.42
2025-10-17 21:57:19,-12.81,0.39,-12.42
2025-10-17 21:58:18,-12.81,0.39,-12.42
2025-10-17 21:59:18,-12.81,0.39,-12.42
2025-10-17 22:00:19,-12.81,0.39,-12.42
2025-10-17 22:01:19,-12.81,0.39,-12.42
2025-10-17 22:02:20,-12.81,0.39,-12.42
2025-10-17 22:03:21,-12.81,0.39,-12.42
2025-10-17 22:04:21,-12.81,0.39,-12.42
2025-10-17 22:05:21,-12.81,0.39,-12.42
2025-10-17 22:06:22,-12.81,0.39,-12.42
2025-10-17 22:07:22,-12.81,0.39,-12.42
2025-10-17 22:08:23,-12.81,0.39,-12.42
2025-10-17 22:09:24,-12.81,0.39,-12.42
2025-10-17 22:10:25,-12.81,0.39,-12.42
2025-10-17 22:11:26,-12.81,0.39,-12.42
2025-10-17 22:12:27,-12.81,0.39,-12.42
2025-10-17 22:13:27,-12.81,0.39,-12.42
2025-10-17 22:14:28,-12.81,0.39,-12.42
2025-10-17 22:15:29,-12.81,0.39,-12.42
2025-10-17 22:16:28,-12.81,0.39,-12.42
2025-10-17 22:17:29,-12.81,0.39,-12.42
2025-10-17 22:18:31,-12.81,0.39,-12.42
2025-10-17 22:19:31,-12.81,0.39,-12.42
2025-10-17 22:20:32,-12.81,0.39,-12.42
2025-10-17 22:21:32,-12.81,0.39,-12.42
2025-10-17 22:22:32,-12.81,0.39,-12.42
2025-10-17 22:23:33,-12.81,0.39,-12.42
2025-10-17 22:24:34,-12.81,0.39,-12.42
2025-10-17 22:25:34,-12.81,0.39,-12.42
2025-10-17 22:26:34,-12.81,0.39,-12.42
2025-10-17 22:27:35,-12.81,0.39,-12.42
2025-10-17 22:28:35,-12.81,0.39,-12.42
2025-10-17 22:29:36,-12.81,0.39,-12.42
2025-10-17 22:30:37,-12.81,0.39,-12.42
2025-10-17 22:31:36,-12.81,0.39,-12.42
2025-10-17 22:32:37,-12.81,0.39,-12.42
2025-10-17 22:33:37,-12.81,0.39,-12.42
2025-10-17 22:34:38,-12.81,0.39,-12.42
2025-10-17 22:35:39,-12.81,0.39,-12.42
2025-10-17 22:36:40,-12.81,0.39,-12.42
2025-10-17 22:37:41,-12.81,0.39,-12.42
2025-10-17 22:38:41,-12.81,0.39,-12.42
2025-10-17 22:41:55,-12.81,0.00,-12.81
2025-10-17 22:42:55,-12.81,0.00,-12.81
2025-10-17 22:43:56,-12.81,0.00,-12.81
2025-10-17 22:44:57,-12.81,0.00,-12.81
2025-10-17 22:45:58,-12.81,0.00,-12.81
2025-10-17 22:46:59,-12.81,0.00,-12.81
2025-10-17 22:48:00,-12.81,0.00,-12.81
2025-10-17 22:49:00,-12.81,0.00,-12.81
2025-10-17 22:50:01,-12.81,0.00,-12.81
2025-10-17 22:51:02,-12.81,0.00,-12.81
2025-10-17 22:52:02,-12.81,0.00,-12.81
2025-10-17 22:52:26,-12.81,0.00,-12.81
2025-10-17 22:53:03,-12.81,0.00,-12.81
2025-10-17 22:53:26,-12.81,0.00,-12.81
2025-10-17 22:56:44,-12.81,0.00,-12.81
2025-10-17 22:57:44,-12.81,0.00,-12.81
2025-10-17 22:58:45,-12.81,0.00,-12.81
2025-10-17 22:59:46,-12.81,0.00,-12.81
2025-10-17 23:00:46,-12.81,0.00,-12.81
2025-10-17 23:01:47,-12.81,0.00,-12.81
2025-10-17 23:02:48,-12.81,0.00,-12.81
2025-10-17 23:03:48,-12.81,0.00,-12.81
2025-10-17 23:04:49,-12.81,0.00,-12.81
2025-10-17 23:05:49,-12.81,0.00,-12.81
2025-10-17 23:06:50,-12.81,0.00,-12.81
2025-10-17 23:07:50,-12.81,0.00,-12.81
2025-10-17 23:08:50,-12.81,0.00,-12.81
2025-10-17 23:09:50,-12.81,0.00,-12.81
2025-10-17 23:10:51,-12.81,0.00,-12.81
